uid_t,god_name
V001-1,Qianshi shengfei
V001-2,Houtu furen
V001-2,Zunzhu mingwang
V002-1,Houtu furen
V002-1,Zunzhu mingwang
V002-2,Sanyi jiaozhu
V003-1,Houtu furen
V003-1,Zunzhu mingwang
V003-2,Xuantian shangdi
V003-3,Sanyi jiaozhu
V004-1,Houtu furen
V004-1,Zunzhu mingwang
V004-2,Sanyi jiaozhu
V004-2,Yuhuang dadi
V004-3,Yuhuang dadi
V005-1,Yanggong taishi
V005-2,Houtu furen
V005-2,Zunzhu mingwang
V005-3,Guanyin
V005-3,Guanyin dashi
V005-4,Wang daren
V005-5,Xuantian shangdi
V005-6,Wang daren
V005-7,Fude zhengshen
V006-1,Houtu furen
V006-1,Tiangong
V006-1,Tiangong yuanshuai
V006-1,Zunzhu mingwang
V006-2,Sanyi jiaozhu
V007-1,Houtu furen
V007-1,Zunzhu mingwang
V007-2,Cuifu dama
V007-3,Chenshi zhenren
V007-4,Dongyue zhusheng shangdi
V008-1,Houtu furen
V008-1,Zunzhu mingwang
V008-2,Yanggong taishi
V008-3,Lufu dama
V008-3,Lufu yima
V008-4,Cuifu dama
V008-5,Dutian yuanshuai
V008-6,Shijia wenfo
V009-1,Ershi
V009-1,Li Zhen
V009-1,Qianshi shengfei
V009-2,Guanyin
V009-2,Guanyin dashi
V009-2,Jialan
V009-2,Weituo
V009-3,Guanyin
V009-3,Guanyin dashi
V009-4,Dutong
V009-4,Dutong shenghou
V009-4,Houtu furen
V009-4,Zunzhu mingwang
V009-5,Houtu furen
V009-5,Zunzhu mingwang
V009-6,Sanyi jiaozhu
V010-1,Houtu furen
V010-1,Tianshang shengmu
V010-1,Zunzhu mingwang
V010-2,Zhanggong shengjun
V010-2,Zhong Kui
V010-3,Guanyin
V010-3,Guanyin dashi
V011-1,Houtu furen
V011-1,Qianshi shengfei
V011-1,Zunzhu mingwang
V011-2,Guanyin
V011-2,Guanyin dashi
V011-3,Sanyi jiaozhu
V011-4,Sanyi jiaozhu
V012-1,Houtu furen
V012-1,Sima shengwang
V012-1,Zunzhu mingwang
V013-1,Houtu furen
V013-1,Zunzhu mingwang
V014-1,Houtu furen
V014-1,Zhusheng dadi
V014-1,Zunzhu mingwang
V015-1,Xuantian shangdi
V015-2,Houtu furen
V015-2,Tianshang shengmu
V015-2,Zunzhu mingwang
V016-1,Houtu furen
V016-1,Zhusheng dadi
V016-1,Zunzhu mingwang
V017-1,Houtu furen
V017-1,Zunzhu mingwang
V017-3,Huanggong
V017-3,Huanggong shenghou
V017-4,Wuhuang dadi
V017-5,Guanyin
V017-5,Guanyin dashi
V017-5,Jialan
V017-5,Sanyi jiaozhu
V017-5,Weituo
V018-1,Tiangong
V018-1,Tiangong yuanshuai
V018-2,Sanfeng zhenren
V018-2,Sanyi jiaozhu
V018-2,Zhuozu zhenren
V019-1,Houtu furen
V019-1,Zunzhu mingwang
V020-1,Houtu furen
V020-1,Zunzhu mingwang
V020-2,Guangze zunwang
V021-1,Houtu furen
V021-1,Zhusheng dadi
V021-1,Zunzhu mingwang
V022-1,Houtu furen
V022-1,Kongfu daren
V022-1,Lufu furen
V022-1,Zhanggong shengjun
V022-1,Zhong Kui
V022-1,Zunzhu mingwang
V023-1,Houtu furen
V023-1,Zunzhu mingwang
V024-1,Ciji zhenjun
V024-1,Kanggong shengwang
V024-1,Taiyi xiangu
V024-1,Wen-Kang-Ma-Zhao yuanshuai
V024-1,Zhanggong shengjun
V024-1,Zhong Kui
V024-2,Houtu furen
V024-2,Qianshi shengfei
V024-2,Zhenggong sheren
V024-2,Zunzhu mingwang
V024-3,Sanyi jiaozhu
V025-1,Houtu furen
V025-1,Qianshi xianfei
V025-1,Zunzhu mingwang
V026-1,Houtu furen
V026-1,Zunzhu mingwang
V027-1,Xuantian shangdi
V027-2,Houtu furen
V027-2,Zunzhu mingwang
V028-1,Houtu furen
V028-1,Zunzhu mingwang
V028-2,Shijiamouni
V028-3,Tiangong
V028-3,Tiangong yuanshuai
V028-4,Sanyi jiaozhu
V029-1,Liugong yuanshuai
V029-2,Lufu furen
V029-2,Lufu yima
V029-3,Sanyi jiaozhu
V030-1,Qianshi shengfei
V030-1,Taishan kangwang
V030-2,Sanyi jiaozhu
V030-2,Sima shengwang
V031-2,Lufu furen
V031-2,Lufu yima
V032-1,Guangze zunwang
V032-1,Wuhuang dadi
V033-1,Yanggong taishi
V033-2,Dage
V033-2,Wuxiong
V034-1,Sanyi jiaozhu
V034-2,Dutian yuanshuai
V034-2,Jialuo dasheng
V034-3,Sanyi jiaozhu
V035-1,Dudu ye
V035-1,Houtu furen
V035-1,Zunzhu mingwang
V035-2,Xuantian shangdi
V036-1,Houtu furen
V036-1,Tianshang shengmu
V036-1,Zunzhu mingwang
V036-2,Sanyi jiaozhu
V036-2,Shijiamouni
V037-1,Houtu furen
V037-1,Tianshang shengmu
V037-1,Zunzhu mingwang
V037-2,Guangze zunwang
V037-3,Sanyi jiaozhu
V037-4,Sanyi jiaozhu
V037-5,Sanyi jiaozhu
V038-1,Houtu furen
V038-1,Zunzhu mingwang
V038-2,Houtu furen
V038-2,Tiangong
V038-2,Tiangong yuanshuai
V038-2,Zunzhu mingwang
V038-3,Sanyi jiaozhu
V039-1,Houtu furen
V039-1,Tiangong
V039-1,Tiangong yuanshuai
V039-1,Zunzhu mingwang
V039-2,Sanyi jiaozhu
V040-1,Houtu furen
V040-1,Qitian dasheng
V040-1,Zunzhu mingwang
V040-2,Houtu furen
V040-2,Zunzhu mingwang
V040-3,Linshui furen
V040-3,Qitian dasheng
V040-3,Sanyi jiaozhu
V040-3,Sima shengwang
V040-3,Tiangong
V040-3,Tiangong yuanshuai
V040-3,Zhanggong shengjun
V040-3,Zhong Kui
V040-4,Houtu furen
V040-4,Zunzhu mingwang
V040-5,Sanyi jiaozhu
V041-1,Houtu furen
V041-1,Zunzhu mingwang
V041-2,Kongfu daren
V042-1,Huang duyuanshuai
V042-2,Houtu furen
V042-2,Zunzhu mingwang
V042-3,Sanguan dadi
V042-4,Sanyi jiaozhu
V042-5,Sanyi jiaozhu
V043-1,Jialuo dasheng
V043-2,Houtu furen
V043-2,Zunzhu mingwang
V043-3,Sanyi jiaozhu
V044-1,Zhanggong shengjun
V044-1,Zhong Kui
V044-2,Houtu furen
V044-2,Zunzhu mingwang
V044-3,Kongfu daren
V044-4,Cuifu dama
V044-5,Sanyi jiaozhu
V045-1,Houtu furen
V045-1,Zunzhu mingwang
V045-2,Sanyi jiaozhu
V046-1,Houtu furen
V046-1,Zunzhu mingwang
V046-2,Zhanggong shengjun
V046-2,Zhong Kui
V047-1,Dutian yuanshuai
V047-1,Wen-Kang-Ma-Zhao yuanshuai
V047-1,Xuantian shangdi
V047-2,Houtu furen
V047-2,Sanyi jiaozhu
V047-2,Zunzhu mingwang
V047-3,Daxiong
V047-3,Erxiong
V048-1,Sanyi jiaozhu
V048-2,Houtu furen
V048-2,Sanyi jiaozhu
V048-2,Zunzhu mingwang
V049-1,Houtu furen
V049-1,Zunzhu mingwang
V049-2,Xuantian shangdi
V049-3,Cuifu dama
V050-1,Houtu furen
V050-1,Zunzhu mingwang
V050-2,Jialuo dasheng
V050-2,Tianshang shengmu
V051-1,Yanggong taishi
V051-2,Lufu furen
V052-1,Fude zhengshen
V053-1,Guanyin
V053-1,Guanyin dashi
V053-1,Huang duyuanshuai
V053-1,Jin daren
V053-1,Sanyi jiaozhu
V054-1,Sanyi jiaozhu
V054-2,Guanyin
V054-2,Guanyin dashi
V055-1,Rulai fozu
V056-1,Sanyi jiaozhu
V056-1,Xuantian shangdi
V056-2,Sanguan dadi
V056-3,Wenchang dijun
V056-4,Shijiamouni
V057-1,Yanggong taishi
V057-2,Lufu yima
V057-3,Daye
V057-3,Erye
V057-4,Sanyi jiaozhu
V058-1,Cuifu dama
V058-1,Dama
V059-1,Houtu furen
V059-1,Qitian dasheng
V059-1,Qianshi xianfei
V059-1,Sima shengwang
V059-1,Tiangong
V059-1,Tiangong yuanshuai
V059-1,Tianshang shengmu
V059-1,Zunzhu mingwang
V059-2,Yanggong taishi
V059-3,Zhunti wenfo
V059-4,Guanyin
V059-4,Guanyin dashi
V059-5,Sanyi jiaozhu
V060-2,Houtu furen
V060-2,Zunzhu mingwang
V060-3,Houtu furen
V060-3,Zunzhu mingwang
V060-4,Kongfu daren
V060-5,Sanyi jiaozhu
V060-6,Sanyi jiaozhu
V060-7,Wenchang dijun
V061-1,Houtu furen
V061-1,Zunzhu mingwang
V061-2,Chenfu daren
V061-3,Xuantian shangdi
V061-4,Cuifu dama
V061-5,Xuantian shangdi
V061-6,Guanyin
V061-6,Guanyin dashi
V062-1,Houtu furen
V062-1,Zunzhu mingwang
V062-2,Houtu furen
