startdate,enddate,uid_r,text,gods_involved
01-10,01-10,V001-1,"On 1/10, the Li 李 and the Shi 施 surnames invite the incense burners of the shê altar to each of their homes to 行道 xingdao, carry out the Dao.",[]
01-13,01-13,V001-2,"On 1/13, the Wu 吴 and the Chen 陈 surnames do the same.",[]
01-14,01-14,V001-3,"On 1/14 the goddess Qianshi shengfei 钱氏圣妃 is taken on a procession around the village, and opera is performed and Daoist ritual masters are invited to perform rites. In the evening, there is a lantern procession. These activities are organized by the village as a whole, and funds are raised on a per capita basis.",['Qianshi shengfei']
01-13,01-13,V002-1,On 1/13 the incense burners of the shê altar are taken on a procession to each household to xingdao 行道 practice the Dao.,[]
01-16,01-16,V003-1,"On 1/16 the gods of Mulan zushê 木兰 祖社 are taken on a procession around the village. Opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.",[]
01-11,01-12,V004-1,On 1/11–12 the gods of Mulan zhongshê 木兰中社 are invited to go on procession within the village.,[]
02-02,02-02,V004-2,"On 2/2 Toufu 头福 is celebrated. On these days, opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.",[]
01-13,01-13,V005-1,"On 1/13 the gods of Yiquanshê 义全社 are taken on a procession within the entire village. Opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.",[]
01-12,01-12,V006-1,"On 1/12 the gods of Tongying zushê 通应祖社 are taken on a procession around the village. Opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.",[]
01-15,01-15,V007-1,"On 1/15 the gods of Guangyingong 广应宫 are taken on a procession around the village. Opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.",[]
01-15,01-16,V008-1,"On 1/15–16, Ciji zhenjun 慈济真君, Dutian yuanshuai 都天元帅, Zhanggong shengjun 张公圣君, Wuhu jialuo 五虎伽罗, Liugong yuanshuai 刘公元帅 and Chenshi zhenren 陈氏真人 go on procession within the village. There are three Fushou selected every year. Opera is performed and Daoist rites are held.","['Chenshi zhenren', 'Ciji zhenjun', 'Dutian yuanshuai', 'Liugong yuanshuai', 'Wuhu jialuo', 'Zhanggong shengjun']"
02-01,02-01,V008-2,"On 2/1, Toufu 头福 is celebrated. The village organizes the event and funds are collected on a per capita basis.",[]
01-07,01-8,V009-1,"On 1/7–8, the Zhang 张 carry the incense burners of the shê temple to each home to xingdao practice the Dao. Two statues of Qianshi shengfei 钱氏圣妃 are carried in a procession around the village. Lanterns go on procession around the village boundaries.",['Qianshi shengfei']
01-09,01-10,V009-2,On 1/9–10 the Chen 陈 do the same.,[]
01-11,01-12,V009-3,On 1/11–12 the Wang 王 do the same. Opera is performed for two days.,[]
01-14,01-14,V010-1,"On 1/14 the gods of Hushangong 壶山宫 and Yonganshê 永安社 are taken on a procession around the village. Opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.",[]
01-14,01-14,V011-1,"On 1/14 –16, the Su 苏, Lin 林 and Xu 许 take turns taking Qianshi shengfei 钱氏圣妃, Dashi 大使, Ershi 二使, Zhanggong shengjun 张公圣君, Tiangong yuanshuai 田公元帅, Dutian yuanshuai 都天元帅 and Dutong shenghou 都统圣侯 on a procession around their own territories.","['Dutian yuanshuai', 'Dutong', 'Dutong shenghou', 'Ershi', 'Qianshi shengfei', 'Tiangong', 'Tiangong yuanshuai', 'Zhanggong shengjun']"
01-15,01-15,V011-2,"On 1/15, at night, there is a fire walking ceremony in which palm sedan chairs with small versions of the gods are raced across a pile of glowing charcoal and burning logs and straw, and lanterns are lit.",[]
01-16,01-16,V011-3,"On 1/16 at night, three Daoist ritual masters and one drummer are invited to conduct jiao rituals 做醮.",[]
01-15,01-15,V012-1,On 1/15 the incense burner of the shê altar is taken on a procession to each household to xingdao (practice the Dao). There is a lantern procession at night.,[]
01-16,01-17,V013-1,On 1/16–17 the incense burner of the shê altar is taken on a procession to each household to xingdao 行道 practice the Dao. There is a lantern procession at night.,[]
02-28,02-28,V013-2,"On 2/28 Toufu 头福 is celebrated, and Daoist ritual masters are invited to conduct rites.",[]
01-20,01-20,V014-1,On 1/20 the incense burner of the shê altar is taken on a procession to each household to xingdao 行道 practice the Dao. There is a lantern procession at night.,[]
01-18,01-18,V015-1,On 1/18 the incense burner of the shê altar is taken on a procession to each household to xingdao 行道 (practice the Dao). There is a lantern procession at night.,[]
01-28,01-28,V015-2,On 1/28 Toufu 头福 is celebrated. Daoist ritual masters hold a jiao ritual 做醮.,[]
