uid_t,god_name
V003-1,Sima shengwang
V003-1,Taiyi xiangu
V003-2,Zhanggong shengjun
V003-2,Zhong Kui
V003-3,Guansheng dijun
V003-3,Guanyin
V003-3,Guanyin dashi
V003-3,Xuantian shangdi
V003-3,Yushu dadi
V003-3,Zhang Sanfeng
V003-3,Zhuo Wanchun
V004-1,Dutian yuanshuai
V004-1,Jixiang dajiang
V004-1,Liugong yuanshuai
V004-1,Sima shengwang
V004-1,Taiyi xiangu
V004-1,Zhanggong shengjun
V004-1,Zhong Kui
V004-2,Fazhu xianfei
V004-2,Hufa longtian
V004-2,Tiangong
V004-2,Tiangong yuanshuai
V004-2,Xuantian shangdi
V004-3,Dianmu
V004-3,Fengbo
V004-3,Kanggong yuanshuai
V004-3,Leigong
V004-3,Liugong yuanshuai
V004-3,Ma yuanshuai
V004-3,"Wen, Kang, Ma, Zhao yuanshuai"
V004-3,Xuantian shangdi
V004-3,Yushi
V004-3,Zhaogong yuanshuai
V005-1,Tiangong
V005-1,Tiangong yuanshuai
V005-2,Sima shengwang
V005-2,Tianshang shengmu
V005-5,Xuantan yuanshuai
V006-1,Daxiong
V006-1,Fude zhengshen
V006-1,Sima shengwang
V006-1,Xuantian shangdi
V007-1,Chenshi zhenren
V007-1,Ciji zhenjun
V007-1,Dutian yuanshuai
V007-1,Guanyin
V007-1,Guanyin dashi
V007-1,Kanggong yuanshuai
V007-1,Sanyi jiaozhu
V007-1,Sima shengwang
V007-1,Tiangong
V007-1,Tiangong yuanshuai
V007-1,Tianshang shengmu
V007-1,Xuantan yuanshuai
V007-1,Zhanggong shengjun
V007-1,Zhong Kui
V007-3,Guanyin
V007-3,Guanyin dashi
V007-3,Lufu furen
V008-1,Fude zhengshen
V008-1,Sima shengwang
V008-2,Dutian yuanshuai
V008-2,Kongfu daren
V008-4,Daxiong
V008-4,Erxiong
V008-4,Wang daren
V008-4,Wenwu liesheng
V008-5,Ciji zhenjun
V008-5,Liugong yuanshuai
V008-5,Taiyi xiangu
V008-5,Zhanggong shengjun
V008-5,Zhong Kui
V008-6,Jialan
