uid_t,name,name_zh,village,raw_Text
V001-1,Qianfeigong,钱妃宫,V001," Qianfeigong 钱妃宫 was originally called the Zhenhuimiao 贞惠庙, and later the Qianlinggong 钱灵宫. The temple was built during the Northern Song in Yuanfeng 7 (1083). The temple was renovated during the early Ming. In 1967 the temple was demolished, but it was rebuilt in 1985. The main god is Qianshi shengfei 钱氏圣妃. Secondary gods are Guangping Zhouwang 广平周王 and Taishan Kongwang 泰山孔王. The stone inscription composed in the Xianchun period (1265–1274) by Liu Kezhuang 刘克庄 entitled 协应钱夫人庙记 (Record of the Temple to Lady Qian of Beneficial Assistance) (Epigraphical Materials, 1995:54, No. 48) is about this temple (stele no longer extant)"
V001-2,Xinglongshê,兴隆社,V001, Xinglongshê 兴隆社: The main gods are Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. 
V002-1,Xindunshê,新墩社,V002, Xindunshê 新墩社 was built in the late Qing. The main gods are Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人
V002-2,Minganci,明安祠,V002, Minganci 明安祠 is dedicated to Sanyi jiaozhu 三一教主. 
V003-1,Mulan zushê,木兰祖社,V003, Mulan zushê 木兰祖社 is co-owned by Tiezao 铁灶. The main gods are Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Secondary gods include Sima shengwang 司马圣王 and Taiyi xiangu 太乙 仙姑
V003-2,Longtongmiao,龙通庙,V003, Longtongmiao 龙通庙: The main god is Xuantian shangdi 玄天上帝: Secondary gods include Zhanggong shengjun 张公圣君
V003-3,Yulingci,玉岭祠,V003," Yulingci 玉岭祠 is dedicated to Sanyi jiaozhu 三一教主. Secondary gods include Yushu dadi 玉枢大帝, Xuantian shangdi 玄天上帝, Guanyin dashi 观音大士, Guansheng dijun 关圣帝君, Zhang Sanfeng 张三峰, and Zhuo Wanchun 卓晚春. "
V004-1,Tiezaojing Mulan zhongshê,铁灶境木兰中社,V004," Tiezaojing Mulan zhongshê 铁灶境木兰中社: The main gods are Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Secondary gods include Sima shengwang 司马圣王, Zhanggong shengjun 张公圣君, Sizhou wenfo 泗洲文佛, Wuhu jiangjun 五虎将军, Dutian yuanshuai 都天元帅, Taiyi xiangu 太乙仙姑, Liugong yuanshuai 刘公元帅, and Jixiang dajiang 吉祥大将"
V004-2,Yinnanci,印南祠,V004," Yinnanci 印南祠: The main gods are Sanyi jiaozhu 三一教主 and Yuhuang dadi 玉皇大帝. Secondary gods include Xuantian shangdi 玄天上帝, Tiangong yuanshuai 田公元帅, Fazhu xianfei 法主仙妃, and Hufa longtian 护法龙天"
V004-3,Yundongyan,云洞岩,V004," Yundongyan 云洞岩: The main god is Yuhuang dadi 玉皇大帝. Secondary gods include Xuantian shangdi 玄天上帝, Wengong yuanshuai 温公元帅, Kanggong yuanshuai 康公元帅, Magong yuanshuai 马公元帅, Zhaogong yuanshuai 赵公元帅, Liugong yuanshuai 刘公元帅, Fengbo 风伯, Leigong 雷公, Dianmu 电母, and Yushi 雨师. "
V005-1,Taishimiao,太师庙,V005," Taishimiao 太师庙 was built during the Ming Wanli period (1573–1620), and was renovated during the Qianlong period (1736–1795). The main god is Yanggong taishi 杨公太师. Secondary gods include Jiucha shenghou 纠察圣候 and Tiangong yuanshuai 田公元帅. This is the main overall temple of the sevenfold ritual alliance"
V005-2,Yiquanshê,义全社,V005, Yiquanshê 义全社: The main gods are Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Secondary gods include Sima shengwang 司马圣王 and Tianshang shengmu 天上圣母
V005-3,Longshouting,龙寿亭,V005, Longshouting 龙寿亭: The main god is Guanyin dashi 观音大士
V005-4,Qilongfu,奇龙府,V005, Qilongfu 奇龙府: The main god is Wangfu daren 王府大人. Secondary gods include Su da ye 苏大爷
